threshold,transformer_avgCountRepAtSatMac,transformer_avgCountRepAtSatModel,transformer_avgTotalPktAtSatMac,transformer_avgTotalPktAtSatModel,bilstm_avgCountRepAtSatMac,bilstm_avgCountRepAtSatModel,bilstm_avgTotalPktAtSatMac,bilstm_avgTotalPktAtSatModel,analytical_avgCountRepAtSatMac,analytical_avgCountRepAtSatModel,analytical_avgTotalPktAtSatMac,analytical_avgTotalPktAtSatModel
0.1,315.02,312.0,91.06,91.06,282.9,282.9,79.98,79.98,307.96,307.52,87.76,87.76
0.2,307.72,301.12,91.0,91.0,283.82,283.78,80.34,80.34,309.0,308.48,88.12,88.12
0.3,280.98,272.14,85.52,85.52,290.5,289.86,82.24,82.24,310.78,310.1,88.68,88.68
0.4,247.88,238.54,78.02,78.02,300.84,299.2,84.98,84.98,0.0,0.0,0.0,0.0
0.5,215.18,205.54,70.16,70.16,303.48,299.76,86.92,86.92,0.0,0.0,0.0,0.0
0.6,181.78,171.06,60.98,60.98,291.2,283.7,85.66,85.66,0.0,0.0,0.0,0.0
0.7,146.12,134.4,50.86,50.86,267.58,252.54,81.04,81.04,0.0,0.0,0.0,0.0
0.8,108.06,96.52,39.72,39.72,225.74,200.44,71.6,71.6,0.0,0.0,0.0,0.0
0.9,62.14,53.04,23.92,23.92,131.06,110.98,46.62,46.62,0.0,0.0,0.0,0.0
0.95,38.5,33.9,14.38,14.38,66.62,51.72,24.78,24.78,0.0,0.0,0.0,0.0
1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.9,301.68,85.76,85.76
0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.86,302.4,86.1,86.1
0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.92,303.4,86.36,86.36
0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.88,303.34,86.46,86.46
0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.06,303.5,86.54,86.54
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.44,303.84,86.62,86.62
0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.62,303.98,86.66,86.66
0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.6,304.04,86.68,86.68
0.00165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.7,304.14,86.7,86.7
0.001787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.7,304.14,86.7,86.7
0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.84,304.28,86.74,86.74
0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,304.44,86.78,86.78
0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.22,304.66,86.84,86.84
0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.48,304.92,86.92,86.92
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.1,305.5,87.06,87.06
0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.1,305.6,87.12,87.12
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.16,305.74,87.16,87.16
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.32,305.94,87.22,87.22
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.14,306.7,87.48,87.48
