series,key,runs,tx_mean,packets_mean,packets_sd,collisions
blind,1,50,420.0000,1.6400,1.5718,628.2400
blind,2,50,840.0000,16.3400,4.5852,1150.3200
blind,3,50,1260.0000,38.9400,6.4480,1610.4400
blind,4,50,1680.0000,61.7000,9.2698,2047.3800
blind,5,50,2099.9000,78.3800,10.4478,2461.8400
gated_mlp,0.1,50,1094.4400,89.9600,9.4762,1214.1200
gated_mlp,0.2,50,759.8800,82.6000,8.7086,767.9000
gated_mlp,0.3,50,570.7600,76.5800,9.4553,527.9000
gated_mlp,0.4,50,452.6200,69.1800,7.9792,376.8600
gated_mlp,0.5,50,361.0800,60.9600,6.7586,272.1800
gated_mlp,0.6,50,285.2000,51.9200,5.3323,191.7800
gated_mlp,0.7,50,218.5600,42.9600,4.0247,127.9200
gated_mlp,0.8,50,150.3200,33.3200,3.3433,72.3600
gated_mlp,0.9,50,78.2200,19.2000,4.1713,26.6200
gated_mlp,0.95,50,39.9800,10.5200,4.2485,10.1000
gated_two,0.1,50,1486.7000,90.8600,8.6879,1825.7800
gated_two,0.2,50,1263.8000,92.7600,9.4224,1532.5600
gated_two,0.3,50,1089.1800,92.9200,10.5221,1291.1400
gated_two,0.4,50,938.1800,91.9800,12.1449,1078.7600
gated_two,0.5,50,801.7800,88.9800,13.5092,885.3400
gated_two,0.6,50,673.1400,83.4800,14.9362,706.8200
gated_two,0.7,50,542.3600,76.6400,15.2142,530.7800
gated_two,0.8,50,407.4600,66.8800,14.7819,357.8800
gated_two,0.9,50,242.4000,49.9400,13.5991,176.9400
gated_two,0.95,50,129.0200,34.9400,11.8092,72.5200
gated_trf,0.1,50,1462.8400,91.0600,9.0209,1742.4000
gated_trf,0.2,50,1225.9000,91.0000,9.7632,1407.2000
gated_trf,0.3,50,1070.0000,85.5200,11.2058,1180.1800
gated_trf,0.4,50,939.2200,78.0200,12.7569,991.5000
gated_trf,0.5,50,830.9400,70.1600,14.0119,847.6600
gated_trf,0.6,50,738.7000,60.9800,13.8513,733.1400
gated_trf,0.7,50,656.6000,50.8600,11.7252,639.3800
gated_trf,0.8,50,574.5000,39.7200,9.2995,558.1400
gated_trf,0.9,50,485.4000,23.9200,5.2833,490.7200
gated_trf,0.95,50,443.1400,14.3800,3.8099,471.5400
gated_trf_no_buffer,0.1,50,1237.5600,94.5600,9.2740,1500.1600
gated_trf_no_buffer,0.2,50,964.9600,95.0000,10.2235,1116.9000
gated_trf_no_buffer,0.3,50,778.9400,89.4400,11.8931,848.3000
gated_trf_no_buffer,0.4,50,622.2200,81.5600,13.7480,624.1600
gated_trf_no_buffer,0.5,50,492.2600,72.9800,14.5072,451.8000
gated_trf_no_buffer,0.6,50,379.0200,62.3600,13.7750,309.4600
gated_trf_no_buffer,0.7,50,277.4400,50.1800,11.2351,195.1800
gated_trf_no_buffer,0.8,50,175.6600,36.7000,9.4705,97.8600
gated_trf_no_buffer,0.9,50,67.7800,17.2000,3.5889,23.8200
gated_trf_no_buffer,0.95,50,23.1800,6.9200,1.5980,4.2400
