pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration
23724, 1.44908, 20, -1,-1,-1,52.9667,4.36625,0.019953,8.68e+08,10,125000,1,0,-4.76795,18933.1,0,-138.21,-133,0.436224
23741, 1.58895, 48, -1,-1,-1,64.7828,-16.1962,0.015849,8.68e+08,10,125000,1,0,-15.2703,18827.2,0,-141.993,-133,0.436224
23743, 1.61401, 40, -1,-1,-1,48.9372,36.7412,0.015849,8.68e+08,10,125000,1,0,-9.75265,13305.7,0,-140.579,-133,0.436224
23775, 1.76338, 57, -1,-1,-1,44.814,18.7707,0.019953,8.68e+08,10,125000,1,0,0.100435,15949.8,0,-136.839,-133,0.436224
23777, 1.77915, 51, -1,-1,-1,33.7535,-18.2574,0.015849,8.68e+08,10,125000,1,0,4.38607,15430.3,0,-136.635,-133,0.436224
23784, 1.80757, 14, -1,-1,-1,37.6281,-6.3679,0.025119,8.68e+08,10,125000,1,0,9.6663,18807.6,0,-133.184,-133,0.436224
23791, 1.85163, 41, -1,-1,-1,41.819,16.1358,0.019953,8.68e+08,10,125000,1,0,3.90492,15978.3,0,-135.764,-133,0.436224
23803, 1.91803, 25, -1,-1,-1,44.495,7.46846,0.025119,8.68e+08,10,125000,1,0,3.35332,18448.8,0,-134.917,-133,0.436224
23810, 1.98332, 29, -1,-1,-1,55.1233,9.5281,0.019953,8.68e+08,11,125000,1,0,-6.80462,18427.4,0,-138.775,-135,0.790528
23812, 2.02186, 36, -1,-1,-1,58.6924,23.8876,0.025119,8.68e+08,11,125000,1,0,-11.4399,16934.7,0,-139.021,-135,0.790528
23814, 2.10534, 23, -1,-1,-1,45.8888,14.6737,0.015849,8.68e+08,11,125000,1,0,0.454678,17110.6,0,-137.737,-135,0.790528
23816, 2.125, 30, -1,-1,-1,61.7004,27.0975,0.025119,8.68e+08,10,125000,1,0,-13.8863,16811,0,-139.649,-133,0.436224
23818, 2.16788, 35, -1,-1,-1,43.6968,25.8111,0.019953,8.68e+08,11,125000,1,0,-2.06203,13876.7,0,-137.453,-135,0.790528
23835, 2.23969, 53, -1,-1,-1,36.6764,16.2584,0.025119,8.68e+08,10,125000,1,0,9.34239,14249.4,0,-133.271,-133,0.436224
23842, 2.32417, 4, -1,-1,-1,52.7474,-8.33986,0.025119,8.68e+08,11,125000,1,0,-5.66642,19378.8,0,-137.461,-135,0.790528
