pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
30372,1.44908,20,-1,-1,-1,39.7553,-9.35268,0.019953,868000000.0,10,125000,1,0,-12.0526,19574.8,0,-139.307,-133,0.436224,600,170,sim_alt_600_raan_170
30389,1.58895,48,-1,-1,-1,56.6076,12.8569,0.015849,868000000.0,10,125000,1,0,3.67971,15910.6,0,-135.214,-133,0.436224,600,170,sim_alt_600_raan_170
30391,1.61401,40,-1,-1,-1,59.1236,25.6898,0.015849,868000000.0,10,125000,1,0,6.28251,10454.4,0,-134.362,-133,0.436224,600,170,sim_alt_600_raan_170
30423,1.76338,57,-1,-1,-1,36.1272,33.7657,0.019953,868000000.0,10,125000,1,0,-14.2829,8671.15,0,-139.953,-133,0.436224,600,170,sim_alt_600_raan_170
30425,1.77915,51,-1,-1,-1,42.2294,28.194,0.015849,868000000.0,10,125000,1,0,-9.68354,10579.6,0,-139.59,-133,0.436224,600,170,sim_alt_600_raan_170
30432,1.80757,14,-1,-1,-1,53.9616,-4.16799,0.025119,868000000.0,10,125000,1,0,-0.107885,19764.7,0,-134.476,-133,0.436224,600,170,sim_alt_600_raan_170
30439,1.85163,41,-1,-1,-1,57.7942,23.9073,0.019953,868000000.0,10,125000,1,0,4.76969,11432.3,0,-133.855,-133,0.436224,600,170,sim_alt_600_raan_170
30451,1.91803,25,-1,-1,-1,47.4666,6.98245,0.025119,868000000.0,10,125000,1,0,-5.29331,17412.7,0,-136.194,-133,0.436224,600,170,sim_alt_600_raan_170
30458,1.98332,29,-1,-1,-1,51.2316,20.2503,0.019953,868000000.0,11,125000,1,0,-1.97591,13344.3,0,-136.099,-135,0.790528,600,170,sim_alt_600_raan_170
30460,2.02186,36,-1,-1,-1,42.8721,21.2682,0.025119,868000000.0,11,125000,1,0,-8.94172,13064.6,0,-137.359,-135,0.790528,600,170,sim_alt_600_raan_170
30462,2.10534,23,-1,-1,-1,52.3551,9.17867,0.015849,868000000.0,11,125000,1,0,-0.869624,17003.4,0,-136.73,-135,0.790528,600,170,sim_alt_600_raan_170
30464,2.125,30,-1,-1,-1,50.4166,22.3874,0.025119,868000000.0,10,125000,1,0,-2.7789,12537.1,0,-135.366,-133,0.436224,600,170,sim_alt_600_raan_170
30466,2.16788,35,-1,-1,-1,44.8964,23.9506,0.019953,868000000.0,11,125000,1,0,-7.46843,12095.4,0,-137.895,-135,0.790528,600,170,sim_alt_600_raan_170
