pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
206968,2.03279,25,-1,-1,-1,46.7789,8.28843,0.015849,868000000.0,11,125000,1,0,-6.27344,19102.5,0,-138.512,-135,0.790528,600,180,sim_alt_600_raan_180
206985,2.12222,38,-1,-1,-1,45.3001,15.8952,0.025119,868000000.0,11,125000,1,0,-7.09067,17577.4,0,-136.774,-135,0.790528,600,180,sim_alt_600_raan_180
206992,2.13976,53,-1,-1,-1,64.7134,-23.4263,0.025119,868000000.0,11,125000,1,0,5.9656,16893.8,0,-132.468,-135,0.790528,600,180,sim_alt_600_raan_180
207014,2.25715,1,-1,-1,-1,49.3772,1.54038,0.025119,868000000.0,10,125000,1,0,-4.63358,20008.1,0,-135.979,-133,0.436224,600,180,sim_alt_600_raan_180
207016,2.29279,28,-1,-1,-1,56.0984,11.391,0.025119,868000000.0,11,125000,1,0,2.6096,18962.2,0,-133.569,-135,0.790528,600,180,sim_alt_600_raan_180
207033,2.4312,22,-1,-1,-1,50.1724,11.2032,0.019953,868000000.0,11,125000,1,0,-3.21516,18771.1,0,-136.511,-135,0.790528,600,180,sim_alt_600_raan_180
207050,2.52319,42,-1,-1,-1,57.8004,23.0841,0.019953,868000000.0,10,125000,1,0,5.16889,15781.6,0,-133.724,-133,0.436224,600,180,sim_alt_600_raan_180
207062,2.61004,52,-1,-1,-1,38.8743,33.4102,0.025119,868000000.0,11,125000,1,0,-11.9026,12309.9,0,-138.261,-135,0.790528,600,180,sim_alt_600_raan_180
207064,2.61151,43,-1,-1,-1,55.5373,25.9108,0.019953,868000000.0,10,125000,1,0,2.51229,14816.3,0,-134.601,-133,0.436224,600,180,sim_alt_600_raan_180
207071,2.62181,33,-1,-1,-1,49.0691,16.5595,0.015849,868000000.0,10,125000,1,0,-3.91171,17564.8,0,-137.741,-133,0.436224,600,180,sim_alt_600_raan_180
207083,2.66113,47,-1,-1,-1,60.1499,6.23873,0.025119,868000000.0,11,125000,1,0,6.96035,19827.7,0,-132.144,-135,0.790528,600,180,sim_alt_600_raan_180
207085,2.67232,36,-1,-1,-1,43.812,25.0559,0.019953,868000000.0,12,125000,1,0,-8.13533,15087.4,0,-138.106,-137,1.58106,600,180,sim_alt_600_raan_180
207097,2.78166,51,-1,-1,-1,40.4208,27.6114,0.015849,868000000.0,10,125000,1,0,-10.6497,14201.1,0,-139.885,-133,0.436224,600,180,sim_alt_600_raan_180
207114,2.87487,10,-1,-1,-1,30.029,30.9233,0.019953,868000000.0,12,125000,1,0,-17.7912,12958.4,0,-140.911,-137,1.58106,600,180,sim_alt_600_raan_180
207116,2.89365,5,-1,-1,-1,51.8039,6.80183,0.015849,868000000.0,11,125000,1,0,-2.02799,19547.2,0,-137.117,-135,0.790528,600,180,sim_alt_600_raan_180
207123,2.90706,59,-1,-1,-1,69.9209,23.5589,0.025119,868000000.0,10,125000,1,0,31.4115,13605.5,0,-125.892,-133,0.436224,600,180,sim_alt_600_raan_180
207125,2.91431,27,-1,-1,-1,50.7509,3.14531,0.019953,868000000.0,11,125000,1,0,-3.29114,19923.9,0,-136.537,-135,0.790528,600,180,sim_alt_600_raan_180
207127,2.92598,48,-1,-1,-1,56.7773,13.3766,0.025119,868000000.0,12,125000,1,0,3.51102,18573.5,0,-133.27,-137,1.58106,600,180,sim_alt_600_raan_180
207129,2.96356,24,-1,-1,-1,47.7606,11.929,0.019953,868000000.0,12,125000,1,0,-5.25672,18525.2,0,-137.182,-137,1.58106,600,180,sim_alt_600_raan_180
207131,2.96969,8,-1,-1,-1,59.4499,10.2152,0.025119,868000000.0,12,125000,1,0,6.49962,19250.8,0,-132.292,-137,1.58106,600,180,sim_alt_600_raan_180
207133,2.97313,49,-1,-1,-1,45.07,7.88241,0.019953,868000000.0,11,125000,1,0,-7.60555,19060.7,0,-137.939,-135,0.790528,600,180,sim_alt_600_raan_180
207135,3.00821,23,-1,-1,-1,54.1403,7.94096,0.025119,868000000.0,12,125000,1,0,0.265225,19485.7,0,-134.351,-137,1.58106,600,180,sim_alt_600_raan_180
207137,3.02831,12,-1,-1,-1,54.1642,0.091911,0.025119,868000000.0,11,125000,1,0,-0.478623,20261.1,0,-134.601,-135,0.790528,600,180,sim_alt_600_raan_180
207139,3.03118,29,-1,-1,-1,53.788,19.7678,0.015849,868000000.0,10,125000,1,0,0.635677,16832.4,0,-136.227,-133,0.436224,600,180,sim_alt_600_raan_180
207151,3.12009,9,-1,-1,-1,38.3205,25.796,0.019953,868000000.0,12,125000,1,0,-12.1601,14709.8,0,-139.337,-137,1.58106,600,180,sim_alt_600_raan_180
