seed,val_loss,val_auc_roc,val_auc_pr,test_accuracy,test_auc_roc,test_auc_pr,test_prec_clase_0,test_rec_clase_0,test_f1_clase_0,test_prec_clase_1,test_rec_clase_1,test_f1_clase_1,
0,0.584928450903349,0.826193474371406,0.748464984703921,0.773976608187135,0.894389075058724,0.714432219478585,0.945007235890015,0.748281130634072,0.835216371775741,0.510764662212324,0.85785536159601,0.640297812936249,
1,0.550448572277827,0.834921144977503,0.773930324489628,0.73172514619883,0.881439489520468,0.712722999008482,0.958837075417386,0.663149512243679,0.784041426385783,0.497326203208556,0.921298844248762,0.645957939417326,
2,0.598922968520756,0.829185699157565,0.75130113387267,0.76374269005848,0.897896504422686,0.71520681666794,0.960869565217391,0.719731800766284,0.823001095290252,0.500682593856655,0.905555555555556,0.644835164835165,
3,0.615967075697729,0.817400656962477,0.754538415119399,0.738450292397661,0.875090328103212,0.699067444649847,0.943937768240343,0.690135320651108,0.797326384955251,0.492287917737789,0.879954049396898,0.631362044096435,
4,0.531235320301051,0.865523879355179,0.77992684242865,0.803508771929825,0.915187305469441,0.736134743646346,0.968433451118964,0.772599135500846,0.859502404348735,0.533718689788054,0.911784068466096,0.673310646572679,
5,0.542312479001737,0.841026934639231,0.760370685282777,0.773830409356725,0.904574568207525,0.741063318012443,0.965668559628291,0.725703200775946,0.828663196367261,0.523263654753877,0.92106824925816,0.667383358417545,
6,0.595947038107797,0.820399720893142,0.743956649986015,0.746783625730994,0.875947204466817,0.644616711367073,0.956533192834563,0.698537899191997,0.807427173671336,0.485216819973719,0.899512789281364,0.630388390951771,
7,0.5795518942613,0.827433432337928,0.74010731869741,0.759502923976608,0.903140931172416,0.71025093313806,0.965438373570521,0.715712132629992,0.822027480255328,0.480550774526678,0.911227154046997,0.629254000450755,
8,0.615905388401091,0.829151077079725,0.762089698725484,0.776169590643275,0.891409377857073,0.722915399021964,0.944708531398549,0.742430200550531,0.831443355719476,0.539219134716848,0.87400228050171,0.666956710898412,
9,0.580548683506823,0.831031746031746,0.75048477091314,0.782017543859649,0.905165823519083,0.741476725479363,0.962212892072117,0.744363775315246,0.839383819885813,0.520601934790398,0.904732254047323,0.660905162610871,
,0.579576787097946,0.83222677658059,0.756517082421909,0.764970760233918,0.894424060779745,0.71378873104701,0.957164664538814,0.72206441082597,0.822803270865498,0.50836323855649,0.898699060639888,0.649065123118721,average
,0.582738567205086,0.829168388118645,0.752919774496035,0.768786549707602,0.896142789740705,0.714819518073263,0.959853320317389,0.722717500771115,0.825832145828757,0.505723628034489,0.905143904801439,0.645396552126245,median
