seed,best_threshold_used,val_loss,val_auc_roc,val_auc_pr,test_accuracy,test_auc_roc,test_auc_pr,test_prec_clase_0,test_rec_clase_0,test_f1_clase_0,test_prec_clase_1,test_rec_clase_1,test_f1_clase_1
0,0.7062012,0.584928450903349,0.911755691828624,0.778353431636338,0.839473684210526,0.894389075058724,0.714432219478585,0.900658404337723,0.888273491214668,0.894423076923077,0.650954653937948,0.680174563591023,0.665243902439024
1,0.63779694,0.550448572277827,0.911309234738833,0.778827729537145,0.792690058479532,0.881439489520468,0.712722999008482,0.916763005780347,0.789368903045989,0.848309798887463,0.579324055666004,0.801871216290589,0.672668513388735
2,0.6308373,0.598922968520756,0.917401074951574,0.783947601746042,0.802923976608187,0.897896504422686,0.71520681666794,0.939600363306085,0.79272030651341,0.859933499584372,0.555829228243021,0.835802469135803,0.667652859960552
3,0.5591528,0.615967075697729,0.898749822922565,0.761620355552171,0.761257309941521,0.875090328103212,0.699067444649847,0.927268244575937,0.737595606981761,0.821627525942108,0.519396551724138,0.830557151062608,0.639116022099448
4,0.65858364,0.531235320301051,0.924323969831019,0.764086389955876,0.832456140350877,0.915187305469441,0.736134743646346,0.947481243301179,0.830670926517572,0.885239335069097,0.585747126436782,0.838709677419355,0.689767190037899
5,0.6345142,0.542312479001737,0.924114054854462,0.805666058359181,0.814473684210526,0.904574568207525,0.741063318012443,0.935064935064935,0.810087293889428,0.868101028999065,0.587615838247683,0.827893175074184,0.687361419068736
6,0.68815446,0.595947038107797,0.902342657006352,0.726921471765352,0.805994152046784,0.875947204466817,0.644616711367073,0.911896148116621,0.824355521354367,0.865918965343033,0.573563755254554,0.747868453105968,0.649220195611948
7,0.6425062,0.5795518942613,0.915347060499087,0.775635257029608,0.824707602339181,0.903140931172416,0.71025093313806,0.940218555817442,0.826676714393369,0.879799498746867,0.576622181316153,0.817885117493473,0.67638326585695
8,0.5229546,0.615905388401091,0.905258079639811,0.761946233027835,0.780994152046784,0.891409377857073,0.722915399021964,0.939705882352941,0.753834054266614,0.836569932358717,0.546376811594203,0.859749144811859,0.668143553389455
9,0.61448205,0.580548683506823,0.910716710758377,0.76225729258572,0.805847953216374,0.905165823519083,0.741476725479363,0.940658844765343,0.796522735957203,0.862611214566522,0.557724252491694,0.836239103362391,0.669157947184853
,average,0.579576787097946,0.91213183570307,0.769926182119527,0.806081871345029,0.894424060779745,0.71378873104701,0.929931562741855,0.805010555413438,0.862253387642032,0.573315445491218,0.807675007134725,0.66847148690376
