seed,best_threshold,log_loss,auc_roc,accuracy,precision,recall,f1_score
0,0.111987527238291,0.498198304393419,0.942204579520113,0.87467362924282,0.819078947368421,0.93609022556391,0.873684210526316
1,0.0360067643592934,0.563990641493058,0.936138516627132,0.856770833333333,0.793846153846154,0.943327239488117,0.862155388471178
2,0.109870621276429,0.503582353861707,0.951228546734165,0.866782006920415,0.81956155143339,0.911819887429644,0.863232682060391
3,0.037945538936328,0.484814963800927,0.939211230983009,0.867989646246764,0.802702702702703,0.988352745424293,0.885906040268456
4,0.107257612241373,0.517954529461213,0.944924526314205,0.862456747404844,0.808196721311476,0.921495327102804,0.861135371179039
5,0.0398324618232963,0.540514793149197,0.940158995208364,0.861739130434783,0.791726105563481,0.977112676056338,0.874704491725768
6,0.0405101869295067,0.544374424948398,0.947513218545612,0.8828125,0.811728395061728,0.975881261595547,0.886267902274642
7,0.0365529316067632,0.493174121884492,0.936981683670425,0.836065573770492,0.748299319727891,0.990990990990991,0.852713178294574
8,0.111346032417151,0.560924904019239,0.920478868665397,0.850515463917526,0.802650957290133,0.931623931623932,0.862341772151899
9,0.0981096045312201,0.559892100443802,0.934754657177885,0.858742463393626,0.808080808080808,0.905660377358491,0.854092526690392
,,,0.939359482344631,0.86185479946646,0.800587166238618,0.948235466263407,0.867623356364266
