seed,best_threshold,log_loss,auc_roc,auc_pr,accuracy,precision_c0,recall_c0,f1_score_c0,precision_c1,recall_c1,f1_score_c1
0,0.000368686786081066,1.14044306266656,0.841495754932131,0.562136365998196,0.718271604938272,0.936749571183533,0.687382001258653,0.792921960072595,0.421711292200233,0.830848623853211,0.559459459459459
1,7.58274302072914E-05,1.21122565402835,0.83199554510333,0.567182169279151,0.675432098765432,0.952294056308655,0.598950647647155,0.735379969803724,0.426360225140713,0.908545727136432,0.580367118914605
2,0.0017867963475671,1.12526463566798,0.853161426124877,0.584295606382931,0.77962962962963,0.921743991056456,0.783745247148289,0.847161572052402,0.500548847420417,0.76510067114094,0.605175846051758
3,0.000366440237494702,1.21793452795446,0.823384081642275,0.544692436485507,0.67320987654321,0.931707317073171,0.617423630192339,0.742684942160008,0.40825,0.85363303711448,0.552342296634534
4,0.00178677860708301,1.09912982280308,0.85669266919244,0.592316424081713,0.800864197530864,0.921842288904396,0.819351837494185,0.86758065840243,0.508023648648649,0.728649303452453,0.598656382184623
5,0.00172528004684224,1.2311745483779,0.830601243723871,0.549962140443127,0.752469135802469,0.913120219650912,0.74879382438083,0.822832906247239,0.479506831056315,0.76461211477152,0.589391767356134
6,0.00179119235171508,1.15025080457384,0.842471492972686,0.556717616231906,0.749876543209877,0.921599683231043,0.740652346857597,0.821277346506704,0.465398491308626,0.781818181818182,0.583470394736842
7,0.00170001526375647,1.11568008709453,0.825476300117129,0.486858170416134,0.738641975308642,0.926761678543151,0.72826256027376,0.815608396481143,0.426837270341207,0.778575703171753,0.551388005933461
8,0.00036878379760066,1.22622685595794,0.84168152016639,0.575243252929755,0.72641975308642,0.925465838509317,0.698174179996769,0.795910849143489,0.455552317108715,0.817896389324961,0.585174092100337
9,0.00178686795441072,1.1650209474313,0.836966775235158,0.551716749841171,0.765802469135803,0.916230366492147,0.771775082690188,0.837821663674446,0.473473837209302,0.744146202170189,0.578725294248279
,average,1.16823509465559,0.838392680921029,0.557112093208959,0.738061728395062,0.926751501095278,0.719451135793977,0.807918026454418,0.456566276043418,0.797382595395412,0.578415065762003
