seed,default_threshold,log_loss,auc_roc,accuracy,precision,recall,f1_score
0,0.5,0.50164575921653,0.929979622251285,0.76414273281114,0.943708609271523,0.528756957328386,0.677764565992866
1,0.5,0.464031851332374,0.946941702727671,0.824652777777778,0.954802259887006,0.645038167938931,0.76993166287016
2,0.5,0.509961618697383,0.934710471047105,0.742214532871972,0.9375,0.490909090909091,0.644391408114558
3,0.5,0.492340739865955,0.95072634822988,0.741156169111303,0.98371335504886,0.505862646566164,0.668141592920354
4,0.5,0.544422678037992,0.940380486193486,0.715397923875433,0.953781512605042,0.41651376146789,0.579821200510856
5,0.5,0.504255490466506,0.936847965531431,0.750434782608696,0.945337620578778,0.521276595744681,0.672
6,0.5,0.581423683040347,0.917875549778577,0.672743055555556,0.907766990291262,0.343119266055046,0.498002663115846
7,0.5,0.506694243927315,0.923013526829705,0.749784296807593,0.913738019169329,0.520947176684882,0.663573085846868
8,0.5,0.513895599923677,0.927169075510174,0.738831615120275,0.897526501766785,0.480151228733459,0.625615763546798
9,0.5,0.560733011375598,0.926900393184797,0.714900947459087,0.921259842519685,0.429357798165138,0.585732165206508
,,,0.933454514128411,0.741425883399883,0.935913471113827,0.488193268959367,0.638497410812481
