seed,model,accuracy,precision,recall,f1_score,auc_roc
0,Logistic Regression,0.818044402456306,0.829115247856097,0.781391681450818,0.8045463771057438,0.816584810246454
0,Random Forest,0.90968351440718,0.875022772818364,0.9467770549970431,0.9094868396137096,0.9111606610253721
0,MLP,0.8820028341993387,0.8245078071961982,0.957618766016164,0.8860921112631099,0.8850140274202736
1,Logistic Regression,0.8249952803473665,0.8366737739872068,0.7829209896249002,0.8089053803339518,0.8228470945974734
1,Random Forest,0.8955068906928451,0.8502242152466367,0.945730247406225,0.8954378010767923,0.8980711430510164
1,MLP,0.8783273551066642,0.8260641093011035,0.9409417398244214,0.8797686782949352,0.8815242557954066
2,Logistic Regression,0.819622641509434,0.8209928481278923,0.7862610797743755,0.8032516978802222,0.8176337336416236
2,Random Forest,0.8908490566037736,0.850229990800368,0.9309024979854955,0.8887393018559477,0.8932369125839471
2,MLP,0.8700943396226415,0.8100259291270527,0.9439967767929089,0.8718950600055819,0.8745001627044744
3,Logistic Regression,0.8190062346495371,0.8215088938867308,0.7939142461964038,0.807475884244373,0.817952598211324
3,Random Forest,0.9073304364254676,0.8728070175438597,0.943687018375815,0.9068641412702934,0.908857083848541
3,MLP,0.8803136217645947,0.8381461675579323,0.9290654020944478,0.881266985287227,0.8823607553458666
4,Logistic Regression,0.8144612476370511,0.8261698073258522,0.7735923869944489,0.7990170983925463,0.8126451819365307
4,Random Forest,0.9010396975425331,0.8609355246523388,0.9450832672482157,0.9010490501842926,0.9029968359362466
4,MLP,0.8796786389413989,0.8236909871244635,0.951229183187946,0.8828779096513019,0.8828580887037996
5,Logistic Regression,0.8267835265290736,0.8476806422836753,0.7669491525423728,0.8052966101694915,0.8230855400200813
5,Random Forest,0.8837055885401941,0.8387331634510375,0.9297820823244553,0.8819138755980861,0.8865532869624045
5,MLP,0.8737159551408915,0.8375653472740852,0.9051654560129136,0.8700543056633049,0.87565965108338
6,Logistic Regression,0.8212020823473734,0.834717607973422,0.7862311754351653,0.8097492194581529,0.8201148540418672
6,Random Forest,0.9067676289635589,0.8726977248104009,0.94523762957168,0.9075204206177824,0.907963642372047
6,MLP,0.8789398958826313,0.8317757009345794,0.9399569724232348,0.8825635846111468,0.880836886798558
7,Logistic Regression,0.8205540323343103,0.8215122470713525,0.7844213951596501,0.8025384935497295,0.8181824290285884
7,Random Forest,0.9008225394724402,0.8521485797523671,0.9517998779743746,0.899221827264867,0.9041684902239364
7,MLP,0.8759572657653399,0.8311592871578174,0.9200732153752288,0.8733590733590734,0.8788528621045755
8,Logistic Regression,0.816592648587357,0.8305700658641835,0.7537098103874691,0.7902755267423015,0.8117702777290686
8,Random Forest,0.9036190116224133,0.8588014981273409,0.9451772464962902,0.8999215070643642,0.9068060373120084
8,MLP,0.8835868846262874,0.8340716131413806,0.9313685078318219,0.8800389483933788,0.8872511706843632
9,Logistic Regression,0.8153817082388511,0.8221084953940635,0.7872966085081357,0.8043260564790707,0.8144033653520069
9,Random Forest,0.8840702947845805,0.838754809373907,0.9402078023916879,0.8865884092799704,0.886025841739342
9,MLP,0.8726379440665155,0.825951016154247,0.9321701627131935,0.8758519064284399,0.8747117455915047
