seed,model,threshold:,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
0,Logistic Regression,0.5,0.636094681962441,0.927014042867701,0.789332913782253,0.852651257647859,0.501860119047619,0.773509174311927,0.608754512635379,0.719334400553534,0.925064599483204,0.770147277842131,0.840527361387033,0.547409579667644,0.816723383568303,0.655481857198595
0,Random Forest,0.5,0.69164443837365,0.869558950706255,0.949181875393329,0.907627501128329,0.722030981067126,0.481077981651376,0.577426015141087,0.766127666795696,0.858721624850657,0.951514148601688,0.902739618494387,0.791310541310541,0.540106951871658,0.642010979485698
0,MLP,0.5,0.706700891204715,0.897741336633663,0.912995594713656,0.905304212168487,0.6619804400978,0.62098623853211,0.640828402366864,0.774801204090229,0.884462783685129,0.922224060896906,0.902948801036941,0.738743746525848,0.646086533787069,0.689315352697095
0,Gradient Boosting,0.5,0.667017496365947,0.954093032703636,0.738986784140969,0.832875254898484,0.47780925401322,0.870412844036697,0.616947774842512,0.755566479110732,0.940739252711933,0.774946218765514,0.849832138644406,0.564381806534273,0.856587263004375,0.680440239428461
1,Logistic Regression,0.5,0.665889016943603,0.909760241646215,0.790129529431054,0.845735345735346,0.543346414555833,0.76111944027986,0.634054954204829,0.741178527561138,0.914479894279781,0.824791418355185,0.867323187108326,0.632893328576525,0.796587337224966,0.705367793240557
1,Random Forest,0.5,0.706807695020326,0.856750152718387,0.919822921790457,0.887166917055428,0.684922680412371,0.531234382808596,0.59836757669575,0.761763904547648,0.857459965118123,0.920824110335433,0.888013136288998,0.740658114891244,0.596317916479569,0.660696517412935
1,MLP,0.5,0.725765975480211,0.863552833078101,0.924577799639285,0.893023992398448,0.707006369426752,0.55472263868066,0.621674600952114,0.783445247583062,0.859607470718582,0.924740337136046,0.890985152981708,0.751964085297419,0.601706331387517,0.668495884260414
1,Gradient Boosting,0.5,0.689943689413019,0.955068864303455,0.693556320708313,0.803571428571429,0.490874421138654,0.900549725137431,0.63540197461213,0.753558879529463,0.958504430516533,0.755150689596458,0.844761904761905,0.585948747480564,0.913785361472833,0.714035087719298
2,Logistic Regression,0.5,0.632955688317001,0.920036429872496,0.800221799746515,0.855956617522454,0.516858237547893,0.754474272930649,0.613460663938154,0.712441873966923,0.920704845814978,0.796256418751035,0.853970509859655,0.572768322334144,0.799321376635967,0.667341157426143
2,Random Forest,0.5,0.690186911948297,0.87928710498727,0.930133079847909,0.903995688659635,0.690091356289529,0.549217002237136,0.611647461849891,0.778726400532427,0.870455945779421,0.936060957429187,0.902067204086519,0.759950248756219,0.592341250605914,0.665758648869518
2,MLP,0.5,0.70273566756173,0.892051641001711,0.908586818757922,0.900243309002433,0.654697785757032,0.611856823266219,0.632552760913559,0.767401283156868,0.888418309170875,0.903428855391751,0.895860709592641,0.702702702702703,0.667959282598158,0.684890656063618
2,Gradient Boosting,0.5,0.686076236071229,0.957816377171216,0.73384030418251,0.831001076426265,0.485294117647059,0.885906040268456,0.6270783847981,0.764318478814105,0.948857893672933,0.777538512506212,0.85469774217043,0.574056454170631,0.877363063499758,0.694018404907976
3,Logistic Regression,0.5,0.632644769135362,0.905646496229538,0.795862291902376,0.847212663454921,0.525722868944799,0.731834814427601,0.611888111888112,0.715010772954544,0.915009746588694,0.798163577622853,0.852601943511035,0.6003367003367,0.803515096890491,0.687222971670842
3,Random Forest,0.5,0.681213716658718,0.860298507462687,0.931630838855665,0.894544890199426,0.697857142857143,0.510716152639833,0.589797766374887,0.743532442955352,0.839162975408584,0.934194864818908,0.884132603797876,0.750804893754025,0.525461919783686,0.618239660657476
3,MLP,0.5,0.687760089587187,0.874181478016838,0.906255050913205,0.889929370684866,0.655990510083037,0.578149503397805,0.6146151708808,0.746084306343145,0.850878581605192,0.913960210848495,0.88129201508444,0.716208637128435,0.575484452456061,0.638180909545227
3,Gradient Boosting,0.5,0.676879768764717,0.942683456361268,0.701794084370454,0.804595571203558,0.471951917572982,0.861996863565081,0.609950064730904,0.744912700715614,0.940317732932589,0.744771297398402,0.831198405920865,0.563916327716444,0.874718341595313,0.685744568097509
4,Logistic Regression,0.5,0.626739610701407,0.931961739758166,0.800744301442084,0.86138448707256,0.497850722938648,0.771653543307087,0.605225653206651,0.679649535572459,0.926087782633479,0.785368997744119,0.849943325486093,0.530489954176947,0.794614572333685,0.636229127034454
4,Random Forest,0.5,0.71389521576729,0.883583381419504,0.949759652659327,0.915477169120395,0.722602739726027,0.511205330102968,0.598793898545584,0.757270611272124,0.889315910837817,0.932162423461167,0.910235229328928,0.736050156739812,0.619852164730729,0.672972198337633
4,MLP,0.5,0.74132543559914,0.908006042296073,0.932082493409831,0.919886754916214,0.704054054054054,0.631132646880678,0.665602044075375,0.764675044347033,0.905873015873016,0.919593941347084,0.912681912681913,0.722777777777778,0.686906019007392,0.704385489983758
4,Gradient Boosting,0.5,0.70829112107517,0.95625227852716,0.813459451077687,0.879095098449937,0.539785768936496,0.854633555420957,0.661664712778429,0.753004793266888,0.952337136547663,0.833870447953593,0.889175257731959,0.613278319579895,0.86325237592397,0.717105263157895
5,Logistic Regression,0.5,0.673360321811605,0.92192082111437,0.808941781923448,0.861744046599281,0.550680786686838,0.773645058448459,0.643393725143615,0.736189552567785,0.92627345844504,0.798448332783097,0.857624113475177,0.575747046560111,0.811459353574927,0.673577235772358
5,Random Forest,0.5,0.726446534857212,0.869928400954654,0.93792216146671,0.902646649125522,0.723495702005731,0.536663124335813,0.616229408175717,0.781772768017036,0.876193409300893,0.939253879168042,0.906628425748885,0.770859277708593,0.606268364348678,0.678728070175439
5,MLP,0.5,0.745093943490341,0.891225867210799,0.913155355419749,0.902057351656208,0.687680740312319,0.631774707757705,0.658543339795071,0.806431699776402,0.889274447949527,0.930670188180918,0.909501532505243,0.761363636363636,0.656219392752204,0.70489216201999
5,Gradient Boosting,0.5,0.729621194483128,0.958852867830424,0.742039240913477,0.836627379873074,0.512165450121655,0.894792773645059,0.651450676982592,0.786612668909032,0.952822414503502,0.763453284912512,0.847690615835777,0.558533579790511,0.887855044074437,0.685703479576399
6,Logistic Regression,0.5,0.626234636301041,0.926345083487941,0.794431185361973,0.855331905781585,0.523247232472325,0.781267217630854,0.626740331491713,0.698789682614112,0.929327941459657,0.801128818061089,0.86047962913435,0.587891296869625,0.823217726396917,0.685932169375878
6,Random Forest,0.5,0.670615548560279,0.869273242799582,0.926809864757359,0.897119975358078,0.671193709792709,0.517355371900827,0.58431860609832,0.747010817148718,0.866749688667497,0.924302788844622,0.894601542416452,0.727923627684964,0.58766859344894,0.650319829424307
6,MLP,0.5,0.643903992567146,0.884193804606831,0.885600636435959,0.88489666136725,0.601662049861496,0.598347107438017,0.6,0.721539829688015,0.888282025819265,0.89093625498008,0.889607160616609,0.680758017492711,0.67485549132948,0.677793904208999
6,Gradient Boosting,0.5,0.650772965665171,0.956161395856052,0.697533810660302,0.806623735050598,0.459174964438122,0.889256198347108,0.60562851782364,0.727408693903319,0.951525282072712,0.75597609561753,0.842553191489362,0.556427278213639,0.888246628131021,0.684230055658627
7,Logistic Regression,0.5,0.637431027194385,0.937154441577589,0.790947270181988,0.857865879375791,0.49738219895288,0.795930580490724,0.612197928653625,0.707274103420716,0.926135293009233,0.798667533311667,0.857691300933601,0.556390977443609,0.798561151079137,0.655834564254062
7,Random Forest,0.5,0.706979513016727,0.887221331779105,0.947114636801991,0.916190189587722,0.725141471301536,0.536804308797128,0.616918844566713,0.755696089705642,0.872474180511899,0.947188820279493,0.908297623685236,0.770965468639887,0.562178828365879,0.650222882615156
7,MLP,0.5,0.697860591816003,0.903392666970942,0.92362731373464,0.913397938778649,0.678454485920105,0.61998803111909,0.647904940587867,0.761370734098862,0.892305291087873,0.928989275268118,0.910277844120691,0.74187832250443,0.645426515930113,0.690299532838692
7,Gradient Boosting,0.5,0.689295681641371,0.965037824575751,0.734173277337066,0.833922261484099,0.467435338111561,0.897666068222621,0.614754098360656,0.750148851040791,0.947252747252747,0.770393240168996,0.849717716641276,0.54345718901454,0.864337101747174,0.667327911128744
8,Logistic Regression,0.5,0.668088466001791,0.91536625665504,0.805622879301987,0.856995531110347,0.54655107425556,0.75876504447933,0.635407537248028,0.726748453726692,0.920932009167303,0.812879298718813,0.863538681948424,0.612430167597765,0.809040590405904,0.697138314785374
