seed,threshold,val_loss,val_auc_roc,val_auc_pr,test_accuracy,test_auc_roc,test_auc_pr,test_prec_clase_0,test_rec_clase_0,test_f1_clase_0,test_prec_clase_1,test_rec_clase_1,test_f1_clase_1
0,0.5,0.571107247942372,0.834832488834865,0.756860282602794,0.758625730994152,0.885353818471392,0.697226655378473,0.946228528752801,0.725935828877005,0.821571382254404,0.491675522493801,0.865336658354115,0.627061215269935
1,0.5,0.545905486224165,0.832965607719371,0.772356653717817,0.719444444444444,0.880383806312646,0.702321677338808,0.966066066066066,0.640453912004778,0.770262181252245,0.485470085470085,0.937809576224546,0.63975971466116
2,0.5,0.548325652145503,0.838275195329993,0.759011826011717,0.757894736842105,0.896350692966274,0.707588505129983,0.963097713097713,0.709961685823755,0.817379797088664,0.493983957219251,0.912345679012346,0.640936686903729
3,0.5,0.605316247801945,0.811090780382853,0.751400919559711,0.74766081871345,0.876482972019043,0.69962574657988,0.935001289656951,0.710923710531477,0.80770944741533,0.502531218359771,0.855255600229753,0.633078231292517
4,0.5,0.532740520028539,0.861960192460133,0.778381778906778,0.820760233918129,0.914342898862111,0.73516887039382,0.960215778826703,0.802856605901146,0.874513817809621,0.561271434546215,0.883475971033575,0.686445012787724
5,0.5,0.542449642412844,0.844714255400219,0.763901755768245,0.787865497076023,0.902953831807441,0.733848117493472,0.953921568627451,0.754995150339476,0.842880346507851,0.542391304347826,0.888427299703264,0.673565804274466
6,0.5,0.572112621114268,0.829196570972887,0.753349451247533,0.727631578947368,0.89091208602203,0.67848677219217,0.968267340634653,0.663332050788765,0.787304486813563,0.466300701433364,0.931181485992692,0.621418410892095
7,0.5,0.56191191215787,0.831363523426147,0.744041169480076,0.762865497076023,0.903820788267771,0.710970603957851,0.969434538970963,0.717030896759608,0.824344812648906,0.484557309540151,0.921671018276763,0.635177687809267
8,0.5,0.582106282300594,0.831714694138709,0.763961679749848,0.772368421052632,0.890397141795104,0.723525765143936,0.945243502397174,0.736531655524971,0.827936788595425,0.534237052485228,0.876282782212087,0.663787518894407
9,0.5,0.586938969276802,0.830019841269841,0.749661087437778,0.785380116959064,0.899477432497831,0.725036385346876,0.950047801147228,0.759457393962553,0.844128265024421,0.525978915662651,0.86986301369863,0.655560769591741
,average,0.56489145814049,0.834613314993502,0.75929266044823,0.764049707602339,0.894047546902164,0.711379909895527,0.95575241281777,0.722147889051353,0.821803132541043,0.508839750155834,0.894164908473777,0.647679105237704
