seed,best_threshold_used,val_loss,val_auc_roc,val_auc_pr,test_accuracy,test_auc_roc,test_auc_pr,test_prec_clase_0,test_rec_clase_0,test_f1_clase_0,test_prec_clase_1,test_rec_clase_1,test_f1_clase_1
0,0.651797,0.571107247942372,0.915970117046122,0.782582403260486,0.816520467836257,0.885353818471392,0.697226655378473,0.915640008352474,0.837471352177235,0.874812967581047,0.585080448561677,0.748129675810474,0.656634746922025
1,0.645266,0.545905486224165,0.913282012380673,0.784146423489254,0.78625730994152,0.880383806312646,0.702321677338808,0.921420118343195,0.775034839737209,0.841911764705882,0.567877629063098,0.817281232801321,0.670126353790614
2,0.64924484,0.548325652145503,0.923082064939649,0.796492958699071,0.807602339181287,0.896350692966274,0.707588505129983,0.935714285714286,0.803065134099617,0.864329896907217,0.564406779661017,0.822222222222222,0.669346733668342
3,0.5897479,0.605316247801945,0.901145301538465,0.765016867432003,0.783333333333333,0.876482972019043,0.69962574657988,0.908885371919512,0.7883898803687,0.844360428481412,0.553578816714936,0.768523836875359,0.643578643578644
4,0.54078543,0.532740520028539,0.924896247814149,0.770323046598594,0.826315789473684,0.914342898862111,0.73516887039382,0.952683461117196,0.817327570005638,0.879830062714951,0.572747252747253,0.857801184990125,0.686874011597259
5,0.68282235,0.542449642412844,0.924164980279226,0.793866453434867,0.839473684210526,0.902953831807441,0.733848117493472,0.907902674441987,0.875848690591659,0.891587677725119,0.65720407070166,0.728189910979229,0.690878378378378
6,0.69717306,0.572112621114268,0.913670060630544,0.756018478118059,0.811111111111111,0.89091208602203,0.67848677219217,0.927914110429448,0.814736437091189,0.867650071706618,0.57688927943761,0.799634591961023,0.670239918325676
7,0.6799677,0.56191191215787,0.918373127817165,0.77589734689446,0.835964912280702,0.903820788267771,0.710970603957851,0.925406504065041,0.857761868877167,0.890301134141572,0.606770833333333,0.760443864229765,0.674971031286211
8,0.6419246,0.582106282300594,0.911335738686807,0.771802175396551,0.812573099415205,0.890397141795104,0.723525765143936,0.909560723514212,0.830515139598899,0.868242548818088,0.607468123861567,0.76054732041049,0.675443037974684
9,0.6356028,0.586938969276802,0.910473985890653,0.765637505247828,0.828801169590643,0.899477432497831,0.725036385346876,0.915694700225087,0.854986625907528,0.88429997035866,0.61136712749616,0.74346201743462,0.670974992975555
,AVERAGE,0.56489145814049,0.915639363702345,0.776178365857117,0.814795321637427,0.894047546902164,0.711379909895527,0.922082195812244,0.825513753845484,0.870732652314057,0.590339036157831,0.780623585771463,0.670906784849739
