pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk, minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
31780,6.85399,42,-1,-1,-1,57.8977,24.2191,0.015849,868000000.0,12,125000,1,0,5.1003,9085.85,0,-134.318,-137,1.58106,600,170,sim_alt_600_raan_170
31788,7.42264,47,-1,-1,-1,59.7683,8.16129,0.025119,868000000.0,11,125000,1,0,8.01913,17205.7,1,-131.012,-135,0.790528,600,170,sim_alt_600_raan_170
31790,7.4728,7,-1,-1,-1,48.8319,14.1863,0.025119,868000000.0,12,125000,1,0,-3.78074,15284.8,0,-135.255,-137,1.58106,600,170,sim_alt_600_raan_170
31792,7.5455,32,-1,-1,-1,50.5868,13.249,0.025119,868000000.0,11,125000,1,0,-2.19898,15598.2,0,-134.693,-135,0.790528,600,170,sim_alt_600_raan_170
31799,8.9702,51,-1,-1,-1,42.3684,27.9023,0.019953,868000000.0,12,125000,1,0,-9.38164,10489.5,0,-138.512,-137,1.58106,600,170,sim_alt_600_raan_170
31811,10.0289,10,-1,-1,-1,29.4544,31.4812,0.019953,868000000.0,10,125000,1,0,-18.3478,9389.05,0,-141.062,-133,0.436224,600,170,sim_alt_600_raan_170
31814,10.1301,11,-1,-1,-1,54.7543,39.9536,0.025119,868000000.0,11,125000,1,0,-0.102391,3949.27,1,-134.479,-135,0.790528,600,170,sim_alt_600_raan_170
31816,10.35,19,-1,-1,-1,39.0749,1.2067,0.025119,868000000.0,12,125000,1,0,-11.5389,18072.2,0,-138.186,-137,1.58106,600,170,sim_alt_600_raan_170
31828,11.9982,15,-1,-1,-1,46.9546,3.40824,0.019953,868000000.0,11,125000,1,0,-5.36382,18052.5,0,-137.241,-135,0.790528,600,170,sim_alt_600_raan_170
31840,12.4395,52,-1,-1,-1,41.266,34.2383,0.015849,868000000.0,10,125000,1,0,-10.5404,7935.6,0,-139.854,-133,0.436224,600,170,sim_alt_600_raan_170
31843,12.7289,14,-1,-1,-1,52.2544,-7.65371,0.025119,868000000.0,12,125000,1,0,-1.41517,19947.7,1,-134.959,-137,1.58106,600,170,sim_alt_600_raan_170
31845,12.9419,22,-1,-1,-1,50.551,7.07049,0.025119,868000000.0,11,125000,1,0,-2.05282,17274.8,0,-135.14,-135,0.790528,600,170,sim_alt_600_raan_170
31852,14.6004,37,-1,-1,-1,41.4835,21.171,0.019953,868000000.0,12,125000,1,0,-9.5792,12780.0,0,-138.571,-137,1.58106,600,170,sim_alt_600_raan_170
31859,15.6072,3,-1,-1,-1,41.8058,-4.891,0.025119,868000000.0,11,125000,1,0,-9.64076,19118.7,0,-137.589,-135,0.790528,600,170,sim_alt_600_raan_170
31866,16.542,5,-1,-1,-1,52.4733,3.05793,0.025119,868000000.0,10,125000,1,0,-0.169964,18251.0,0,-134.513,-133,0.436224,600,170,sim_alt_600_raan_170
31878,18.3945,56,-1,-1,-1,37.2872,14.0383,0.015849,868000000.0,12,125000,1,0,-12.325,14873.9,0,-140.403,-137,1.58106,600,170,sim_alt_600_raan_170
31881,19.8931,0,-1,-1,-1,51.5987,2.44473,0.015849,868000000.0,12,125000,1,0,-0.869563,18307.5,1,-136.79,-137,1.58106,600,170,sim_alt_600_raan_170
31893,21.1764,36,-1,-1,-1,43.2157,21.016,0.015849,868000000.0,11,125000,1,0,-8.06807,12626.3,0,-139.096,-135,0.790528,600,170,sim_alt_600_raan_170
31895,21.2792,9,-1,-1,-1,36.8038,25.2383,0.019953,868000000.0,10,125000,1,0,-12.9248,11172.6,0,-139.571,-133,0.436224,600,170,sim_alt_600_raan_170
31903,22.1592,27,-1,-1,-1,51.3865,3.72676,0.025119,868000000.0,11,125000,1,0,-0.897033,17958.4,1,-134.754,-135,0.790528,600,170,sim_alt_600_raan_170
31915,23.2313,13,-1,-1,-1,56.5513,-3.57393,0.025119,868000000.0,11,125000,1,0,4.14743,19470.8,0,-133.084,-135,0.790528,600,170,sim_alt_600_raan_170
