pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
31430,11.1269,42,-1,-1,-1,57.8977,24.2191,0.015849,868000000.0,12,125000,1,0,4.47837,19929.8,0,-134.951,-137,1.58106,600,200,sim_alt_600_raan_200
31437,12.3645,7,-1,-1,-1,48.8319,14.1863,0.025119,868000000.0,12,125000,1,0,-5.38357,20217.8,0,-136.225,-137,1.58106,600,200,sim_alt_600_raan_200
31444,13.0547,47,-1,-1,-1,59.7683,8.16129,0.025119,868000000.0,11,125000,1,0,4.01887,19643.2,0,-133.103,-135,0.790528,600,200,sim_alt_600_raan_200
31446,13.3005,32,-1,-1,-1,50.5868,13.249,0.025119,868000000.0,11,125000,1,0,-3.94878,20240.8,0,-135.754,-135,0.790528,600,200,sim_alt_600_raan_200
31453,15.3593,51,-1,-1,-1,42.3684,27.9023,0.019953,868000000.0,12,125000,1,0,-9.14409,18771.4,0,-138.422,-137,1.58106,600,200,sim_alt_600_raan_200
31465,18.1189,19,-1,-1,-1,39.0749,1.2067,0.025119,868000000.0,12,125000,1,0,-13.7383,19336.1,0,-138.8,-137,1.58106,600,200,sim_alt_600_raan_200
31472,18.4697,11,-1,-1,-1,54.7543,39.9536,0.025119,868000000.0,11,125000,1,0,2.48204,16371.4,0,-133.61,-135,0.790528,600,200,sim_alt_600_raan_200
31474,18.6216,10,-1,-1,-1,29.4544,31.4812,0.019953,868000000.0,10,125000,1,0,-17.7098,17302.3,0,-140.889,-133,0.436224,600,200,sim_alt_600_raan_200
31486,22.206,15,-1,-1,-1,46.9546,3.40824,0.019953,868000000.0,11,125000,1,0,-7.68535,19619.4,0,-137.966,-135,0.790528,600,200,sim_alt_600_raan_200
31489,22.8768,14,-1,-1,-1,52.2544,-7.65371,0.025119,868000000.0,12,125000,1,0,-5.35523,17828.1,1,-136.218,-137,1.58106,600,200,sim_alt_600_raan_200
31501,23.4428,52,-1,-1,-1,41.266,34.2383,0.015849,868000000.0,10,125000,1,0,-9.33385,17407.5,0,-139.479,-133,0.436224,600,200,sim_alt_600_raan_200
31503,24.0932,22,-1,-1,-1,50.551,7.07049,0.025119,868000000.0,11,125000,1,0,-4.2361,19887.8,0,-135.849,-135,0.790528,600,200,sim_alt_600_raan_200
