pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
31454,6.06346,42,-1,-1,-1,57.8977,24.2191,0.01,868000000.0,11,125000,1,0,5.52609,13782.9,0,-135.954,-135,0.790528,600,180,sim_alt_600_raan_180
31461,6.68227,7,-1,-1,-1,48.8319,14.1863,0.025119,868000000.0,11,125000,1,0,-3.9918,18035.9,0,-135.226,-135,0.790528,600,180,sim_alt_600_raan_180
31468,6.8707,47,-1,-1,-1,59.7683,8.16129,0.025119,868000000.0,9,125000,1,0,7.1185,19493.4,0,-132.114,-130,0.238592,600,180,sim_alt_600_raan_180
31470,6.99356,32,-1,-1,-1,50.5868,13.249,0.025119,868000000.0,9,125000,1,0,-2.45976,18297.2,0,-135.265,-130,0.238592,600,180,sim_alt_600_raan_180
31477,8.17967,51,-1,-1,-1,42.3684,27.9023,0.015849,868000000.0,11,125000,1,0,-9.02611,14029.6,0,-139.397,-135,0.790528,600,180,sim_alt_600_raan_180
31489,9.55945,19,-1,-1,-1,39.0749,1.2067,0.025119,868000000.0,11,125000,1,0,-12.1212,19424.7,0,-138.344,-135,0.790528,600,180,sim_alt_600_raan_180
31491,9.57819,11,-1,-1,-1,54.7543,39.9536,0.025119,868000000.0,9,125000,1,0,1.12709,8634.4,0,-134.076,-130,0.238592,600,180,sim_alt_600_raan_180
31498,9.66256,10,-1,-1,-1,29.4544,31.4812,0.015849,868000000.0,7,125000,1,0,-17.9537,12604.1,0,-141.954,-124,0.069888,600,180,sim_alt_600_raan_180
31510,11.4463,15,-1,-1,-1,46.9546,3.40824,0.015849,868000000.0,9,125000,1,0,-5.98019,19648.1,0,-138.446,-130,0.238592,600,180,sim_alt_600_raan_180
31512,11.9384,14,-1,-1,-1,52.2544,-7.65371,0.025119,868000000.0,11,125000,1,0,-2.65889,20251.5,0,-135.37,-135,0.790528,600,180,sim_alt_600_raan_180
31519,12.0732,52,-1,-1,-1,41.266,34.2383,0.01,868000000.0,7,125000,1,0,-9.93431,11731.3,0,-141.667,-124,0.069888,600,180,sim_alt_600_raan_180
31526,12.3899,22,-1,-1,-1,50.551,7.07049,0.025119,868000000.0,9,125000,1,0,-2.58505,19332.8,0,-135.307,-130,0.238592,600,180,sim_alt_600_raan_180
31533,13.8099,37,-1,-1,-1,41.4835,21.171,0.015849,868000000.0,11,125000,1,0,-9.43742,15896.2,0,-139.528,-135,0.790528,600,180,sim_alt_600_raan_180
31540,15.0552,3,-1,-1,-1,41.8058,-4.891,0.025119,868000000.0,9,125000,1,0,-10.4371,19890.8,0,-137.838,-130,0.238592,600,180,sim_alt_600_raan_180
31547,16.1757,5,-1,-1,-1,52.4733,3.05793,0.025119,868000000.0,7,125000,1,0,-0.936185,19861.2,0,-134.774,-124,0.069888,600,180,sim_alt_600_raan_180
