pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
23861,4.23207,44,-1,-1,-1,49.4502,28.6106,0.025119,868000000.0,11,125000,1,0,-3.91815,19158.7,0,-135.744,-135,0.790528,600,200,sim_alt_600_raan_200
23869,6.07794,11,-1,-1,-1,56.2255,39.0326,0.019953,868000000.0,11,125000,1,0,3.40744,17005.1,1,-134.304,-135,0.790528,600,200,sim_alt_600_raan_200
23881,8.90819,51,-1,-1,-1,41.7747,27.0798,0.019953,868000000.0,10,125000,1,0,-9.86074,18918.3,0,-138.644,-133,0.436224,600,200,sim_alt_600_raan_200
23883,9.02201,21,-1,-1,-1,40.9645,-8.5141,0.025119,868000000.0,10,125000,1,0,-14.0378,18284.8,0,-138.888,-133,0.436224,600,200,sim_alt_600_raan_200
23890,9.4952,17,-1,-1,-1,50.4369,1.49897,0.025119,868000000.0,10,125000,1,0,-5.87655,19503.8,0,-136.387,-133,0.436224,600,200,sim_alt_600_raan_200
23897,10.0865,37,-1,-1,-1,40.3343,23.9949,0.019953,868000000.0,10,125000,1,0,-11.0398,19212.0,0,-139.003,-133,0.436224,600,200,sim_alt_600_raan_200
23904,11.6249,10,-1,-1,-1,29.4098,30.7973,0.025119,868000000.0,11,125000,1,0,-18.0238,17502.3,0,-139.972,-135,0.790528,600,200,sim_alt_600_raan_200
23916,12.7239,45,-1,-1,-1,49.9029,23.105,0.019953,868000000.0,10,125000,1,0,-3.48844,19788.9,0,-136.601,-133,0.436224,600,200,sim_alt_600_raan_200
23918,13.5187,0,-1,-1,-1,51.7361,-0.026708,0.019953,868000000.0,12,125000,1,0,-4.93711,19236.7,0,-137.081,-137,1.58106,600,200,sim_alt_600_raan_200
23925,17.0916,56,-1,-1,-1,36.4152,15.8389,0.015849,868000000.0,12,125000,1,0,-14.0965,19539.0,0,-140.9,-137,1.58106,600,200,sim_alt_600_raan_200
23933,20.445,32,-1,-1,-1,49.6026,12.0142,0.025119,868000000.0,12,125000,1,0,-4.58868,20152.7,1,-135.965,-137,1.58106,600,200,sim_alt_600_raan_200
23941,21.6375,6,-1,-1,-1,58.9738,20.0075,0.015849,868000000.0,11,125000,1,0,6.0332,20063.5,1,-134.442,-135,0.790528,600,200,sim_alt_600_raan_200
23948,25.3094,50,-1,-1,-1,40.4643,15.6624,0.015849,868000000.0,12,125000,1,0,-10.9577,19723.7,0,-139.978,-137,1.58106,600,200,sim_alt_600_raan_200
23955,28.2981,54,-1,-1,-1,30.9253,-17.3255,0.025119,868000000.0,11,125000,1,0,-20.8007,16520.7,0,-140.682,-135,0.790528,600,200,sim_alt_600_raan_200
23967,35.0652,43,-1,-1,-1,54.5524,26.8506,0.025119,868000000.0,11,125000,1,0,2.67376,19185.9,0,-133.545,-135,0.790528,600,200,sim_alt_600_raan_200
23969,35.7722,33,-1,-1,-1,49.3596,17.3742,0.025119,868000000.0,11,125000,1,0,-3.29099,19955.5,0,-135.535,-135,0.790528,600,200,sim_alt_600_raan_200
23981,36.8759,38,-1,-1,-1,47.1253,14.8343,0.019953,868000000.0,11,125000,1,0,-5.39301,19948.6,0,-137.226,-135,0.790528,600,200,sim_alt_600_raan_200
23983,37.201,30,-1,-1,-1,51.346,20.6395,0.025119,868000000.0,10,125000,1,0,-1.03723,19803.1,0,-134.784,-133,0.436224,600,200,sim_alt_600_raan_200
