pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
31548,5.42316,29,-1,-1,-1,53.936,21.8859,0.019953,868000000.0,12,125000,1,0,-0.393344,20125.2,1,-135.572,-137,1.58106,600,200,sim_alt_600_raan_200
31555,7.30733,14,-1,-1,-1,51.585,-6.38312,0.025119,868000000.0,10,125000,1,0,-6.3175,18335.4,0,-136.531,-133,0.436224,600,200,sim_alt_600_raan_200
31562,11.8149,7,-1,-1,-1,48.5725,16.5475,0.019953,868000000.0,11,125000,1,0,-5.32112,20167.7,0,-137.204,-135,0.790528,600,200,sim_alt_600_raan_200
31569,13.4802,11,-1,-1,-1,54.6745,40.1189,0.015849,868000000.0,10,125000,1,0,2.13986,16452.5,0,-135.724,-133,0.436224,600,200,sim_alt_600_raan_200
31581,14.1788,19,-1,-1,-1,38.9832,-1.03004,0.015849,868000000.0,10,125000,1,0,-14.1822,19152.7,0,-140.928,-133,0.436224,600,200,sim_alt_600_raan_200
31583,14.4398,35,-1,-1,-1,44.6343,23.6283,0.019953,868000000.0,11,125000,1,0,-7.69192,19463.8,0,-137.966,-135,0.790528,600,200,sim_alt_600_raan_200
31591,19.7632,47,-1,-1,-1,60.5036,6.11778,0.025119,868000000.0,12,125000,1,0,4.81025,19202.2,1,-132.843,-137,1.58106,600,200,sim_alt_600_raan_200
31598,21.4279,18,-1,-1,-1,41.9765,2.48894,0.019953,868000000.0,11,125000,1,0,-11.4354,19485.5,0,-139.124,-135,0.790528,600,200,sim_alt_600_raan_200
31605,24.1258,38,-1,-1,-1,44.0665,16.4545,0.025119,868000000.0,12,125000,1,0,-8.29884,19889.2,0,-137.158,-137,1.58106,600,200,sim_alt_600_raan_200
31612,28.7505,5,-1,-1,-1,51.991,3.55056,0.019953,868000000.0,10,125000,1,0,-3.30452,19476.0,0,-136.542,-133,0.436224,600,200,sim_alt_600_raan_200
31629,32.7339,43,-1,-1,-1,54.382,24.8532,0.025119,868000000.0,12,125000,1,0,2.09766,19515.1,0,-133.737,-137,1.58106,600,200,sim_alt_600_raan_200
