pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
46874,1.45443,56,-1,-1,-1,37.473,14.0681,0.019953,868000000.0,10,125000,1,0,-13.398,19102.8,0,-139.7,-133,0.436224,600,190,sim_alt_600_raan_190
46881,5.48218,39,-1,-1,-1,44.3784,20.7056,0.015849,868000000.0,12,125000,1,0,-7.90924,18542.6,0,-139.035,-137,1.58106,600,190,sim_alt_600_raan_190
46888,7.27471,34,-1,-1,-1,47.3526,17.3386,0.019953,868000000.0,12,125000,1,0,-5.65455,19220.6,0,-137.312,-137,1.58106,600,190,sim_alt_600_raan_190
46895,8.94746,0,-1,-1,-1,51.3558,1.08219,0.025119,868000000.0,11,125000,1,0,-3.81362,20237.1,0,-135.711,-135,0.790528,600,190,sim_alt_600_raan_190
46902,10.8972,49,-1,-1,-1,44.1618,7.98079,0.015849,868000000.0,11,125000,1,0,-8.67473,19925.4,0,-139.277,-135,0.790528,600,190,sim_alt_600_raan_190
46914,12.2181,42,-1,-1,-1,56.3886,23.2499,0.019953,868000000.0,11,125000,1,0,3.71622,18387.1,0,-134.201,-135,0.790528,600,190,sim_alt_600_raan_190
46917,12.6234,11,-1,-1,-1,57.0296,36.4025,0.025119,868000000.0,11,125000,1,0,4.72869,14198.8,1,-132.868,-135,0.790528,600,190,sim_alt_600_raan_190
46924,15.3445,55,-1,-1,-1,29.2272,-15.6884,0.025119,868000000.0,12,125000,1,0,-20.8709,18309.1,0,-140.698,-137,1.58106,600,190,sim_alt_600_raan_190
46931,26.4274,26,-1,-1,-1,48.0691,6.63986,0.025119,868000000.0,10,125000,1,0,-4.94764,20021.1,0,-136.081,-133,0.436224,600,190,sim_alt_600_raan_190
46943,28.4953,31,-1,-1,-1,55.28,18.9163,0.025119,868000000.0,10,125000,1,0,3.24358,18947.3,0,-133.356,-133,0.436224,600,190,sim_alt_600_raan_190
46950,29.1152,29,-1,-1,-1,52.8574,21.2634,0.019953,868000000.0,12,125000,1,0,0.754001,18434.7,0,-135.186,-137,1.58106,600,190,sim_alt_600_raan_190
