pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,alt,raan,id_simulation
31092,6.85399,42,-1,-1,-1,57.8977,24.2191,0.015849,868000000.0,12,125000,1,0,5.57267,13782.9,1,600,180,sim_alt_600_raan_180
31099,7.42264,47,-1,-1,-1,59.7683,8.16129,0.025119,868000000.0,11,125000,1,0,7.16357,19490.4,1,600,180,sim_alt_600_raan_180
31101,7.4728,7,-1,-1,-1,48.8319,14.1863,0.025119,868000000.0,12,125000,1,0,-3.95387,18012.7,0,600,180,sim_alt_600_raan_180
31103,7.5455,32,-1,-1,-1,50.5868,13.249,0.025119,868000000.0,11,125000,1,0,-2.43151,18287.0,0,600,180,sim_alt_600_raan_180
31110,8.9702,51,-1,-1,-1,42.3684,27.9023,0.019953,868000000.0,12,125000,1,0,-9.00035,14015.8,0,600,180,sim_alt_600_raan_180
31122,10.0289,10,-1,-1,-1,29.4544,31.4812,0.019953,868000000.0,10,125000,1,0,-17.9443,12616.8,0,600,180,sim_alt_600_raan_180
31124,10.1301,11,-1,-1,-1,54.7543,39.9536,0.025119,868000000.0,11,125000,1,0,1.14217,8610.13,1,600,180,sim_alt_600_raan_180
31126,10.35,19,-1,-1,-1,39.0749,1.2067,0.025119,868000000.0,12,125000,1,0,-12.0873,19407.7,0,600,180,sim_alt_600_raan_180
31138,11.9982,15,-1,-1,-1,46.9546,3.40824,0.019953,868000000.0,11,125000,1,0,-5.9529,19641.3,0,600,180,sim_alt_600_raan_180
31150,12.4395,52,-1,-1,-1,41.266,34.2383,0.015849,868000000.0,10,125000,1,0,-9.9245,11729.6,0,600,180,sim_alt_600_raan_180
31152,12.7289,14,-1,-1,-1,52.2544,-7.65371,0.025119,868000000.0,12,125000,1,0,-2.6143,20242.8,1,600,180,sim_alt_600_raan_180
31154,12.9419,22,-1,-1,-1,50.551,7.07049,0.025119,868000000.0,11,125000,1,0,-2.55524,19324.5,0,600,180,sim_alt_600_raan_180
31161,14.6004,37,-1,-1,-1,41.4835,21.171,0.019953,868000000.0,12,125000,1,0,-9.40834,15885.3,0,600,180,sim_alt_600_raan_180
31168,15.6072,3,-1,-1,-1,41.8058,-4.891,0.025119,868000000.0,11,125000,1,0,-10.4122,19884.8,0,600,180,sim_alt_600_raan_180
31175,16.542,5,-1,-1,-1,52.4733,3.05793,0.025119,868000000.0,10,125000,1,0,-0.914618,19855.1,0,600,180,sim_alt_600_raan_180
31187,18.3945,56,-1,-1,-1,37.2872,14.0383,0.015849,868000000.0,12,125000,1,0,-12.3956,17336.5,0,600,180,sim_alt_600_raan_180
31189,19.8931,0,-1,-1,-1,51.5987,2.44473,0.015849,868000000.0,12,125000,1,0,-1.60221,19853.7,0,600,180,sim_alt_600_raan_180
31201,21.1764,36,-1,-1,-1,43.2157,21.016,0.015849,868000000.0,11,125000,1,0,-7.84322,15840.0,0,600,180,sim_alt_600_raan_180
31203,21.2792,9,-1,-1,-1,36.8038,25.2383,0.019953,868000000.0,10,125000,1,0,-12.5867,14416.4,0,600,180,sim_alt_600_raan_180
31210,22.1592,27,-1,-1,-1,51.3865,3.72676,0.025119,868000000.0,11,125000,1,0,-1.54945,19684.6,1,600,180,sim_alt_600_raan_180
31222,23.2313,13,-1,-1,-1,56.5513,-3.57393,0.025119,868000000.0,11,125000,1,0,2.81375,20174.4,0,600,180,sim_alt_600_raan_180
31229,23.4652,8,-1,-1,-1,59.9189,10.88,0.015849,868000000.0,11,125000,1,0,9.03091,18662.8,0,600,180,sim_alt_600_raan_180
31231,24.2383,24,-1,-1,-1,47.4547,13.7054,0.015849,868000000.0,11,125000,1,0,-4.36069,17789.8,0,600,180,sim_alt_600_raan_180
31238,25.7655,6,-1,-1,-1,59.2396,19.3227,0.015849,868000000.0,11,125000,1,0,8.65549,16249.9,1,600,180,sim_alt_600_raan_180
31255,29.4278,38,-1,-1,-1,44.813,14.0566,0.019953,868000000.0,10,125000,1,0,-6.31252,17564.8,0,600,180,sim_alt_600_raan_180
31257,29.5959,31,-1,-1,-1,55.58,16.7875,0.015849,868000000.0,12,125000,1,0,4.08482,17011.4,1,600,180,sim_alt_600_raan_180
31259,30.0923,30,-1,-1,-1,49.7013,18.4832,0.019953,868000000.0,11,125000,1,0,-1.99276,16487.1,0,600,180,sim_alt_600_raan_180
31266,30.7929,59,-1,-1,-1,68.6837,16.3794,0.025119,868000000.0,10,125000,1,0,31.8532,15100.0,1,600,180,sim_alt_600_raan_180
31278,32.229,2,-1,-1,-1,52.037,15.389,0.025119,868000000.0,10,125000,1,0,0.339519,17358.9,0,600,180,sim_alt_600_raan_180
31280,32.7799,43,-1,-1,-1,54.1279,22.395,0.015849,868000000.0,11,125000,1,0,2.57874,15093.1,0,600,180,sim_alt_600_raan_180
31292,34.3424,49,-1,-1,-1,45.358,8.43519,0.025119,868000000.0,11,125000,1,0,-5.84633,18606.9,0,600,180,sim_alt_600_raan_180
31294,34.7045,46,-1,-1,-1,52.2431,27.5012,0.025119,868000000.0,12,125000,1,0,0.448761,13161.8,1,600,180,sim_alt_600_raan_180
31306,36.7034,57,-1,-1,-1,34.3974,32.187,0.015849,868000000.0,12,125000,1,0,-14.0307,11879.1,0,600,180,sim_alt_600_raan_180
31313,37.5027,50,-1,-1,-1,41.9511,13.3821,0.019953,868000000.0,12,125000,1,0,-8.23549,17411.3,0,600,180,sim_alt_600_raan_180
31330,38.576,41,-1,-1,-1,59.0619,26.0122,0.019953,868000000.0,10,125000,1,0,8.97689,12952.9,1,600,180,sim_alt_600_raan_180
