pid,time,srcId,dstId,srcSat,dstSat,latDev,longDev,loraTP,loraCF,loraSF,loraBW,loraCR,satId,elevSat,doppler,rcvOk,minPowerdBm,sensitivitydBm,duration,alt,raan,id_simulation
31495,11.1269,42,-1,-1,-1,57.8977,24.2191,0.015849,868000000.0,12,125000,1,0,5.58003,17424.8,1,-133.904,-137,1.58106,600,190,sim_alt_600_raan_190
31502,12.3645,7,-1,-1,-1,48.8319,14.1863,0.025119,868000000.0,12,125000,1,0,-4.3153,19312.3,0,-135.388,-137,1.58106,600,190,sim_alt_600_raan_190
31509,13.0547,47,-1,-1,-1,59.7683,8.16129,0.025119,868000000.0,11,125000,1,0,6.07378,20200.1,0,-132.48,-135,0.790528,600,190,sim_alt_600_raan_190
31511,13.3005,32,-1,-1,-1,50.5868,13.249,0.025119,868000000.0,11,125000,1,0,-2.81776,19801.9,0,-135.396,-135,0.790528,600,190,sim_alt_600_raan_190
31518,15.3593,51,-1,-1,-1,42.3684,27.9023,0.019953,868000000.0,12,125000,1,0,-8.73946,16764.6,0,-138.32,-137,1.58106,600,190,sim_alt_600_raan_190
31530,18.1189,19,-1,-1,-1,39.0749,1.2067,0.025119,868000000.0,12,125000,1,0,-12.5892,19786.8,0,-138.5,-137,1.58106,600,190,sim_alt_600_raan_190
31538,18.4697,11,-1,-1,-1,54.7543,39.9536,0.025119,868000000.0,11,125000,1,0,2.25961,12759.1,1,-133.728,-135,0.790528,600,190,sim_alt_600_raan_190
31540,18.6216,10,-1,-1,-1,29.4544,31.4812,0.019953,868000000.0,10,125000,1,0,-17.5558,15195.1,0,-140.852,-133,0.436224,600,190,sim_alt_600_raan_190
31552,22.206,15,-1,-1,-1,46.9546,3.40824,0.019953,868000000.0,11,125000,1,0,-6.39479,20100.9,0,-137.61,-135,0.790528,600,190,sim_alt_600_raan_190
31554,22.8768,14,-1,-1,-1,52.2544,-7.65371,0.025119,868000000.0,12,125000,1,0,-3.56869,19436.4,0,-135.704,-137,1.58106,600,190,sim_alt_600_raan_190
31566,23.4428,52,-1,-1,-1,41.266,34.2383,0.015849,868000000.0,10,125000,1,0,-9.27692,14782.2,0,-139.468,-133,0.436224,600,190,sim_alt_600_raan_190
31568,24.0932,22,-1,-1,-1,50.551,7.07049,0.025119,868000000.0,11,125000,1,0,-2.88316,20111.2,0,-135.423,-135,0.790528,600,190,sim_alt_600_raan_190
31575,26.6197,37,-1,-1,-1,41.4835,21.171,0.019953,868000000.0,12,125000,1,0,-9.11088,18029.8,0,-138.443,-137,1.58106,600,190,sim_alt_600_raan_190
31582,29.4238,3,-1,-1,-1,41.8058,-4.891,0.025119,868000000.0,11,125000,1,0,-10.8487,19620.1,0,-137.984,-135,0.790528,600,190,sim_alt_600_raan_190
31589,31.6479,5,-1,-1,-1,52.4733,3.05793,0.025119,868000000.0,10,125000,1,0,-1.22294,20105.2,0,-134.892,-133,0.436224,600,190,sim_alt_600_raan_190
31596,34.208,56,-1,-1,-1,37.2872,14.0383,0.015849,868000000.0,12,125000,1,0,-12.1514,18795.4,0,-140.365,-137,1.58106,600,190,sim_alt_600_raan_190
31603,37.2052,0,-1,-1,-1,51.5987,2.44473,0.015849,868000000.0,12,125000,1,0,-1.78513,20046.0,0,-137.093,-137,1.58106,600,190,sim_alt_600_raan_190
31610,40.5622,36,-1,-1,-1,43.2157,21.016,0.015849,868000000.0,11,125000,1,0,-7.17972,17960.7,0,-138.848,-135,0.790528,600,190,sim_alt_600_raan_190
31617,41.1223,9,-1,-1,-1,36.8038,25.2383,0.019953,868000000.0,10,125000,1,0,-11.8552,16877.1,0,-139.25,-133,0.436224,600,190,sim_alt_600_raan_190
31625,42.5278,27,-1,-1,-1,51.3865,3.72676,0.025119,868000000.0,11,125000,1,0,-1.49047,20199.7,1,-134.964,-135,0.790528,600,190,sim_alt_600_raan_190
31637,44.6721,13,-1,-1,-1,56.5513,-3.57393,0.025119,868000000.0,11,125000,1,0,2.44283,19550.4,0,-133.671,-135,0.790528,600,190,sim_alt_600_raan_190
31639,45.1399,8,-1,-1,-1,59.9189,10.88,0.015849,868000000.0,11,125000,1,0,9.58474,19869.7,0,-133.389,-135,0.790528,600,190,sim_alt_600_raan_190
31646,46.6861,24,-1,-1,-1,47.4547,13.7054,0.015849,868000000.0,11,125000,1,0,-3.74388,19442.7,0,-137.71,-135,0.790528,600,190,sim_alt_600_raan_190
31654,49.7404,6,-1,-1,-1,59.2396,19.3227,0.015849,868000000.0,11,125000,1,0,10.1925,18649.9,1,-133.211,-135,0.790528,600,190,sim_alt_600_raan_190
31782,56.6107,31,-1,-1,-1,55.58,16.7875,0.015849,868000000.0,12,125000,1,0,5.44078,19137.5,1,-134.797,-137,1.58106,600,190,sim_alt_600_raan_190
31789,57.4193,38,-1,-1,-1,44.813,14.0566,0.019953,868000000.0,10,125000,1,0,-5.41081,19146.7,0,-137.242,-133,0.436224,600,190,sim_alt_600_raan_190
31796,58.394,30,-1,-1,-1,49.7013,18.4832,0.019953,868000000.0,11,125000,1,0,-0.76234,18587.1,0,-135.708,-135,0.790528,600,190,sim_alt_600_raan_190
31804,60.1496,59,-1,-1,-1,68.6837,16.3794,0.025119,868000000.0,10,125000,1,0,36.2028,16193.5,1,-125.132,-133,0.436224,600,190,sim_alt_600_raan_190
