seed,threshold,val_loss,val_auc_roc,val_auc_pr,test_accuracy,test_auc_roc,test_auc_pr,test_prec_clase_0,test_rec_clase_0,test_f1_clase_0,test_prec_clase_1,test_rec_clase_1,test_f1_clase_1
0,0.5,0.6092224345221157,0.8307117005148937,0.7678950100131334,0.797514619883041,0.8886404595844233,0.7053138885266457,0.9329885315943333,0.7923987776928954,0.8569658163792213,0.5457584621813623,0.814214463840399,0.6534901175881911
1,0.5,0.5664434361189865,0.82893322737075,0.7742740004739083,0.730701754385965,0.8797981130498113,0.7109779700255809,0.9563845050215208,0.663547680668923,0.7834978843441467,0.496274217585693,0.9163456246560264,0.6438515081206496
2,0.5,0.5637845656240893,0.8428772384580125,0.7874800410828003,0.7910818713450293,0.8978085828484935,0.7198694801318998,0.9467358001414093,0.7695402298850574,0.8489908062982141,0.5367731998459762,0.8604938271604938,0.6611335072326299
3,0.5,0.62178218986033,0.8076640983341634,0.7623167514357035,0.7226608187134503,0.8770509337292769,0.7087036883479624,0.9489624228827819,0.6636595410864875,0.7810732833237161,0.4761759315821625,0.8954623779437105,0.6217347956131605
4,0.5,0.5601580595761014,0.8491827671427246,0.7694716545904767,0.8122807017543859,0.9113139226627475,0.7395949186052624,0.9534935969445069,0.7975944371358767,0.8686041751944331,0.5491837588949351,0.8637261356155366,0.6714431934493347
5,0.5,0.5542161242480863,0.8352921138641738,0.8009033205587766,0.7719298245614035,0.901095533995113,0.737451211533823,0.9591315453384419,0.7284190106692532,0.8280044101433297,0.5213675213675214,0.9050445103857567,0.6616052060737527
6,0.5,0.6029111069850406,0.8186303827751197,0.7535679508222379,0.7181286549707603,0.8908897078844622,0.7024723581586364,0.9655466970387244,0.6523662947287419,0.7786452353616533,0.45703125,0.9263093788063338,0.6120724346076458
7,0.5,0.6103323113238602,0.8132172885139718,0.756222454914792,0.7657894736842106,0.902712369722238,0.7268803811238552,0.9611747137879542,0.7275810097965335,0.8282221745657302,0.4875974486180014,0.8981723237597912,0.6320624712907671
8,0.5,0.6103225075013456,0.8281949590895572,0.7587985067061984,0.7785087719298246,0.8896571893870131,0.727154664004944,0.9411910056832221,0.7489186000786473,0.8341180335048725,0.5427855352667382,0.8643101482326112,0.6668132834836156
9,0.5,0.597486538267885,0.8271825396825397,0.7516164337022896,0.7694444444444445,0.8998896476767718,0.7236250974327738,0.958155850663994,0.7306075659151701,0.8290514905149051,0.5050895050895051,0.8960149439601495,0.6460157126823793
